step,axis,offset_from_start,target_position,measured_position,measured_steps,flycap_bright_row,flycap_bright_col,flycap_bright_value,thorcam_bright_row,thorcam_bright_col,thorcam_bright_value,base_name,flycap_ok,thorcam_ok
19,g2_x_rot,0.0228,0.0228,0.0228,38,224,590,255,668,274,49351,x_rot_positive_1.2milideg_step19,True,True
20,g2_x_rot,0.0240,0.0240,0.0240,40,224,590,255,670,274,49151,x_rot_positive_1.2milideg_step20,True,True
21,g2_x_rot,0.0252,0.0252,0.0252,42,230,590,255,684,275,49393,x_rot_positive_1.2milideg_step21,True,True
22,g2_x_rot,0.0264,0.0264,0.0264,44,236,600,255,685,276,50143,x_rot_positive_1.2milideg_step22,True,True
23,g2_x_rot,0.0276,0.0276,0.0276,46,240,598,255,685,275,50123,x_rot_positive_1.2milideg_step23,True,True
24,g2_x_rot,0.0288,0.0288,0.0288,48,244,592,255,686,277,49910,x_rot_positive_1.2milideg_step24,True,True
25,g2_x_rot,0.0300,0.0300,0.0300,50,248,598,255,687,278,49899,x_rot_positive_1.2milideg_step25,True,True
26,g2_x_rot,0.0312,0.0312,0.0312,52,254,148,255,699,276,49661,x_rot_positive_1.2milideg_step26,True,True
27,g2_x_rot,0.0324,0.0324,0.0324,54,256,600,255,703,266,50115,x_rot_positive_1.2milideg_step27,True,True
28,g2_x_rot,0.0336,0.0336,0.0336,56,262,586,255,703,266,50151,x_rot_positive_1.2milideg_step28,True,True
29,g2_x_rot,0.0348,0.0348,0.0348,58,264,588,255,703,266,49858,x_rot_positive_1.2milideg_step29,True,True
30,g2_x_rot,0.0360,0.0360,0.0360,60,268,592,255,714,278,49871,x_rot_positive_1.2milideg_step30,True,True
31,g2_x_rot,0.0372,0.0372,0.0372,62,272,592,255,714,278,49918,x_rot_positive_1.2milideg_step31,True,True
32,g2_x_rot,0.0384,0.0384,0.0384,64,274,592,255,714,278,49151,x_rot_positive_1.2milideg_step32,True,True
